datetime,flag_anom_CO,flag_anom_C6H6,flag_anom_NOx,flag_anom_NO2,flag_anom_any_residual,flag_anom_iforest,flag_anom_combined,T,RH,AH,Hour,Day,Month,is_weekend
2004-03-10 18:00:00,0,0,0,0,0,0,0,0.3333333333333333,0.4993710691823899,0.2800664614181694,18,2,3,0
2004-03-10 19:00:00,0,0,0,0,0,0,0,0.3268817204301075,0.4842767295597485,0.2642818746029419,19,2,3,0
2004-03-10 20:00:00,0,0,0,0,0,0,0,0.2967741935483871,0.5635220125786164,0.276352440991057,20,2,3,0
2004-03-10 21:00:00,0,0,0,0,0,0,0,0.2774193548387097,0.638993710691824,0.2941895127791623,21,2,3,0
2004-03-10 22:00:00,0,0,0,0,0,0,0,0.2817204301075269,0.6339622641509435,0.2952157552656013,22,2,3,0
2004-03-10 23:00:00,0,0,0,0,0,0,0,0.2817204301075269,0.628930817610063,0.2932610076723843,23,2,3,0
2004-03-11 00:00:00,0,0,0,0,0,0,0,0.2838709677419355,0.5987421383647799,0.2812881786639299,0,3,3,0
2004-03-11 01:00:00,0,0,0,0,0,0,0,0.2709677419354839,0.638993710691824,0.2861261789571421,1,3,3,0
2004-03-11 02:00:00,0,0,0,0,0,0,0,0.2709677419354839,0.6352201257861636,0.2834872697062991,2,3,3,0
2004-03-11 03:00:00,0,0,0,0,0,0,0,0.2623655913978495,0.6415094339622642,0.2770854713385134,3,3,3,0
2004-03-11 04:00:00,0,0,0,0,0,0,0,0.2580645161290322,0.6452830188679246,0.2745442994673313,4,3,3,0
2004-03-11 05:00:00,0,0,0,0,0,0,0,0.2774193548387097,0.5911949685534592,0.2697062991741191,5,3,3,0
2004-03-11 06:00:00,0,0,0,0,0,0,0,0.2666666666666667,0.6150943396226416,0.2690710062063235,6,3,3,0
2004-03-11 07:00:00,0,0,0,0,0,0,0,0.2602150537634409,0.6339622641509435,0.2721986023554708,7,3,3,0
2004-03-11 08:00:00,0,0,0,0,0,0,0,0.2731182795698925,0.6062893081761007,0.271758784146997,8,3,3,0
2004-03-11 09:00:00,0,0,0,0,0,0,0,0.2666666666666667,0.6465408805031447,0.2855886233690075,9,3,3,0
2004-03-11 10:00:00,0,0,0,0,0,0,0,0.2731182795698925,0.618867924528302,0.2787958754825783,10,3,3,0
2004-03-11 11:00:00,0,0,0,0,0,0,0,0.2666666666666667,0.6125786163522013,0.2690221375164931,11,3,3,0
2004-03-11 12:00:00,0,0,0,0,0,0,0,0.2451612903225806,0.7245283018867925,0.2982944827249181,12,3,3,0
