pollutant,horizon_h,rf_rmse,rf_mae,rf_r2,naive_rmse,n_train,n_test
CO(GT),1,0.06258885773214865,0.04382450765317892,0.7118146372910285,0.10294164601657882,7086,2223
C6H6(GT),1,0.0442246578307333,0.02945853122434645,0.810291685888876,0.08685317998214548,7086,2223
NOx(GT),1,0.07507988078058808,0.051940019448672554,0.7223029111415489,0.11640902681225315,7086,2223
NO2(GT),1,0.08616894474733187,0.06245764368247229,0.6790095643224194,0.11921035515843954,7086,2223
CO(GT),6,0.10361949828768657,0.07832326758872614,0.21029656134508923,0.15261985100525338,7086,2223
C6H6(GT),6,0.1001272415645179,0.07721405705565361,0.027659877489513263,0.1309653858084978,7086,2223
NOx(GT),6,0.14012778907148418,0.0941362240344471,0.03273072238302277,0.1878145481445298,7086,2223
NO2(GT),6,0.10893174618940077,0.08418290298577878,0.4871121752259523,0.20729891318508264,7086,2223
CO(GT),12,0.10594729662972252,0.08357401792055551,0.17506037418105325,0.15126680343189708,7086,2223
C6H6(GT),12,0.09096541864521569,0.07023079293761442,0.1977321456299168,0.13290879980373335,7086,2223
NOx(GT),12,0.1376589426514774,0.09643500812731366,0.06724861894966372,0.18265284201566157,7086,2223
NO2(GT),12,0.11589646336455002,0.08850316437786994,0.41997731461440857,0.20487158567003214,7086,2223
CO(GT),24,0.11106824363978582,0.08693133261866366,0.0964952734596195,0.11525276437779776,7086,2223
C6H6(GT),24,0.10006020921642107,0.0763769927912819,0.033871563780909275,0.10019445155728215,7086,2223
NOx(GT),24,0.14729583679120736,0.10050108379989464,-0.06780681385413256,0.1444908793430821,7086,2223
NO2(GT),24,0.11960944537362643,0.09120233214044521,0.38552785938638134,0.14258014556873755,7086,2223
