Pollutant,Horizon,RMSE_XGBoost,RMSE_Naive,Improvement_%,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
C6H6(GT),t+12h,0.07980266501450857,0.09199836174855476,13.25642816051317,352,0.071893918325304,7,5,0.9002195346118451,0.8866681018489375,0.16005494818339555,0.427565976071015,0.7712931513602702
C6H6(GT),t+1h,0.04491260263317073,0.08685317998214548,48.289052119446325,342,0.06549969482596019,10,7,0.6301593458287691,0.6198253143770672,0.03229123501658638,0.2558733432978489,0.8404782531701621
C6H6(GT),t+24h,0.08407591196324787,0.11113150410965589,24.34556462019237,337,0.0330391683558919,8,6,0.7788324554343806,0.9804905136284944,0.2086907756980148,0.6646055307660335,0.8881472765055575
C6H6(GT),t+6h,0.08294119558638473,0.1318137608916375,37.07698268728582,203,0.033386370332773654,7,2,0.612305642946684,0.6266090589380907,0.0013889967774589201,0.9832830021225848,0.5323631901306377
CO(GT),t+12h,0.09996026215153571,0.10573454646419368,5.4611141824052725,161,0.05910853698615264,5,2,0.6646051126553467,0.6172799984778139,0.03900466632883661,0.9616017583112256,0.31213628380541336
CO(GT),t+1h,0.05664810623704706,0.10294164601657882,44.97066208954552,165,0.11081716770550744,4,7,0.8732365594545605,0.9203274359809888,0.000899699604403978,0.4923074019603798,0.5213961622169309
CO(GT),t+24h,0.10192015945725892,0.12792835182429355,20.330280188989097,408,0.010301202425972714,8,5,0.7213061666867332,0.8702750846650408,0.1200407059159607,0.2055712449987316,0.923013118428866
CO(GT),t+6h,0.09481613490141677,0.1500441512683263,36.807843491442995,476,0.02074152672836961,6,4,0.9444722009219492,0.8667036915628324,0.030323970403458158,0.22392724229301397,0.26246509746636015
NO2(GT),t+12h,0.11184025770048511,0.13072296160638716,14.444825663266975,212,0.0803194714259393,4,7,0.614316728017922,0.8754623330741834,0.04567623600509605,0.26189605585393044,0.4383658056003553
NO2(GT),t+1h,0.07889706577923919,0.11921035515843954,33.81693589086364,301,0.08220930363789468,3,1,0.7104438332502345,0.8472688642873125,0.027200212269477712,0.17761668084818438,0.305461469943713
NO2(GT),t+24h,0.11717898838053586,0.15747358833790331,25.588163947152964,471,0.04065385239918751,4,4,0.7538746632237706,0.8244096722186091,0.0016417224977141182,0.010288327774623417,0.6902674700092454
NO2(GT),t+6h,0.10737279774457636,0.20295875554610526,47.09624748355093,499,0.10878192906783861,5,7,0.8243626807262747,0.8810796931031994,0.005511196749239478,0.5732909776512292,0.5916836359300597
NOx(GT),t+12h,0.12828308043638004,0.13542591918139357,5.274351311912604,243,0.26269290123648825,3,2,0.6822751592787497,0.6923545999675519,0.0005644215853843684,0.8655323128795716,0.5423121395237552
NOx(GT),t+1h,0.0738153325560229,0.11640902681225315,36.589683311180174,136,0.21972571297923157,8,5,0.640543888043061,0.9051022767755784,0.03568722574739719,0.49281925072183974,0.6406674774367305
NOx(GT),t+24h,0.12051438345306592,0.16338511045462767,26.23906602154364,300,0.03948986292068805,3,4,0.788429037659759,0.6230591904277004,0.024952960564559982,0.06782160945888167,0.9820105843203681
NOx(GT),t+6h,0.11104841484414212,0.18138669904824672,38.778082722259285,383,0.25813696061606106,3,7,0.7974251183637835,0.8738077243067748,0.024032785253257773,0.5849950722594186,0.8025315077537604
