pollutant,horizon_h,feature,importance
CO(GT),1,CO(GT),0.7690515840757209
CO(GT),1,PT08.S1(CO),0.004300792325617843
CO(GT),1,C6H6(GT),0.0020408157377615017
CO(GT),1,PT08.S2(NMHC),0.0030727982785372586
CO(GT),1,NOx(GT),0.002155063843305506
CO(GT),1,PT08.S3(NOx),0.0027475463082602134
CO(GT),1,NO2(GT),0.003016774431845364
CO(GT),1,PT08.S4(NO2),0.0015693248537246803
CO(GT),1,PT08.S5(O3),0.0027384151831249446
CO(GT),1,T,0.0021035311701457595
CO(GT),1,RH,0.0029663227406693284
CO(GT),1,AH,0.002106114168426067
CO(GT),1,Hour,0.005085778924312231
CO(GT),1,Day,0.0006840994492570996
CO(GT),1,Month,0.0002717441462123735
CO(GT),1,hour,0.005206735554974763
CO(GT),1,dayofweek,0.000647730589243626
CO(GT),1,month,0.00021052029915998686
CO(GT),1,is_weekend,0.00021328771511707647
CO(GT),1,hour_sin,0.013820464205343776
CO(GT),1,hour_cos,0.01186076471221974
CO(GT),1,dow_sin,0.0012011186892908138
CO(GT),1,dow_cos,0.0005455032502174819
CO(GT),1,month_sin,0.0004956356841275119
CO(GT),1,month_cos,0.000491557821474972
CO(GT),1,CO(GT)_lag1,0.021292687990603354
CO(GT),1,CO(GT)_lag6,0.0023686243436936228
CO(GT),1,CO(GT)_lag12,0.00826087469617808
CO(GT),1,CO(GT)_lag24,0.001614360501624118
CO(GT),1,C6H6(GT)_lag1,0.0012484653240042716
CO(GT),1,C6H6(GT)_lag6,0.0006218395638050128
CO(GT),1,C6H6(GT)_lag12,0.0020613557084079464
CO(GT),1,C6H6(GT)_lag24,0.0008023665003530412
CO(GT),1,NOx(GT)_lag1,0.001872541937323964
CO(GT),1,NOx(GT)_lag6,0.004468105204981313
CO(GT),1,NOx(GT)_lag12,0.002032935419601141
CO(GT),1,NOx(GT)_lag24,0.001787507413023703
CO(GT),1,NO2(GT)_lag1,0.00201085014559193
CO(GT),1,NO2(GT)_lag6,0.0026645298462456128
CO(GT),1,NO2(GT)_lag12,0.003924890229568604
CO(GT),1,NO2(GT)_lag24,0.0022738846209505743
CO(GT),1,PT08.S1(CO)_lag1,0.002269467549766198
CO(GT),1,PT08.S1(CO)_lag6,0.0017972526991306985
CO(GT),1,PT08.S1(CO)_lag12,0.002464896124078661
CO(GT),1,PT08.S1(CO)_lag24,0.0018591570055161916
CO(GT),1,PT08.S2(NMHC)_lag1,0.0016592831080759264
CO(GT),1,PT08.S2(NMHC)_lag6,0.0006803411436567795
CO(GT),1,PT08.S2(NMHC)_lag12,0.002690051673219832
CO(GT),1,PT08.S2(NMHC)_lag24,0.0009052403249752736
CO(GT),1,PT08.S3(NOx)_lag1,0.0015814714960967061
CO(GT),1,PT08.S3(NOx)_lag6,0.0014551154537531872
CO(GT),1,PT08.S3(NOx)_lag12,0.0018319303310470982
CO(GT),1,PT08.S3(NOx)_lag24,0.0015019649497440212
CO(GT),1,PT08.S4(NO2)_lag1,0.0042283451336567746
CO(GT),1,PT08.S4(NO2)_lag6,0.001729233519511201
CO(GT),1,PT08.S4(NO2)_lag12,0.004370779119242389
CO(GT),1,PT08.S4(NO2)_lag24,0.0017787453652152
CO(GT),1,PT08.S5(O3)_lag1,0.0016483078589301188
CO(GT),1,PT08.S5(O3)_lag6,0.004756582608306274
CO(GT),1,PT08.S5(O3)_lag12,0.0019109034720112318
CO(GT),1,PT08.S5(O3)_lag24,0.001483472750894617
CO(GT),1,CO(GT)_roll_mean_6h,0.005841714286175634
CO(GT),1,CO(GT)_roll_std_6h,0.0070274544318483815
CO(GT),1,CO(GT)_roll_mean_24h,0.004050632884718834
CO(GT),1,CO(GT)_roll_std_24h,0.0034150099713647227
CO(GT),1,C6H6(GT)_roll_mean_6h,0.0019375538689744563
CO(GT),1,C6H6(GT)_roll_std_6h,0.0025846690413505345
CO(GT),1,C6H6(GT)_roll_mean_24h,0.001711167361134976
CO(GT),1,C6H6(GT)_roll_std_24h,0.002237928807406005
CO(GT),1,NOx(GT)_roll_mean_6h,0.0017897456757906666
CO(GT),1,NOx(GT)_roll_std_6h,0.002487712304075292
CO(GT),1,NOx(GT)_roll_mean_24h,0.0023046961704896105
CO(GT),1,NOx(GT)_roll_std_24h,0.002155953543588475
CO(GT),1,NO2(GT)_roll_mean_6h,0.0022300382637064635
CO(GT),1,NO2(GT)_roll_std_6h,0.0032494294580351834
CO(GT),1,NO2(GT)_roll_mean_24h,0.002440016567543213
CO(GT),1,NO2(GT)_roll_std_24h,0.002301360598284423
CO(GT),1,NOx_NO2_ratio,0.0023508096433911326
CO(GT),1,C6H6_CO_ratio,0.0023205576686953122
CO(GT),1,PT08.S1(CO)_minus_CO(GT),0.001906000546104284
CO(GT),1,PT08.S3(NOx)_minus_NOx(GT),0.0032129955002221885
CO(GT),1,PT08.S4(NO2)_minus_NO2(GT),0.001932168116224949
C6H6(GT),1,CO(GT),0.0011308735884089985
C6H6(GT),1,PT08.S1(CO),0.002786008793221224
C6H6(GT),1,C6H6(GT),0.16931498514184426
C6H6(GT),1,PT08.S2(NMHC),0.564592529386759
C6H6(GT),1,NOx(GT),0.0014049114836671014
C6H6(GT),1,PT08.S3(NOx),0.007488585715872963
C6H6(GT),1,NO2(GT),0.0016934851102797554
C6H6(GT),1,PT08.S4(NO2),0.0022287431965141886
C6H6(GT),1,PT08.S5(O3),0.0034321833447483034
C6H6(GT),1,T,0.003024657948110024
C6H6(GT),1,RH,0.0033824362041232217
C6H6(GT),1,AH,0.0021405951702372092
C6H6(GT),1,Hour,0.007240521617509866
C6H6(GT),1,Day,0.0017402015748568518
C6H6(GT),1,Month,0.0003048572580030612
C6H6(GT),1,hour,0.006237604368430972
C6H6(GT),1,dayofweek,0.0018042139742881751
C6H6(GT),1,month,0.0002470161476171737
C6H6(GT),1,is_weekend,0.0021836514372455267
C6H6(GT),1,hour_sin,0.039887505701874784
C6H6(GT),1,hour_cos,0.01723124735327876
C6H6(GT),1,dow_sin,0.001966392695903827
C6H6(GT),1,dow_cos,0.00039841552455400754
C6H6(GT),1,month_sin,0.0004824058020306415
C6H6(GT),1,month_cos,0.0003598524161688637
C6H6(GT),1,CO(GT)_lag1,0.001408795368856383
C6H6(GT),1,CO(GT)_lag6,0.0013856262859755137
C6H6(GT),1,CO(GT)_lag12,0.002231275890550904
C6H6(GT),1,CO(GT)_lag24,0.0015775973241920673
C6H6(GT),1,C6H6(GT)_lag1,0.006015571979422598
C6H6(GT),1,C6H6(GT)_lag6,0.0010533783119691675
C6H6(GT),1,C6H6(GT)_lag12,0.0040151352155342645
C6H6(GT),1,C6H6(GT)_lag24,0.0010374868434884917
C6H6(GT),1,NOx(GT)_lag1,0.0016679524234760514
C6H6(GT),1,NOx(GT)_lag6,0.002542397355879326
